AUTHOR,BORN_DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,STYLE,SCHOOL,TIMEFRAME
"SOROLLA Y BASTIDA, Joaquín","(b. 1863, Valencia, d. 1923, Cercedilla)",Portrait of Alfonso XIII in the Uniform of a Hussar,1907,"Oil on canvas, 208 x 108 cm","Palacio Real, Madrid",http://www.wga.hu/html/s/sorolla/portrai3.html,painting,portrait,Spanish,1851-1900
"SOROLLA Y BASTIDA, Joaquín","(b. 1863, Valencia, d. 1923, Cercedilla)",Portrait of Aureliano Beruete the Elder,1902,"Oil on canvas, 116 x 111 cm","Museo del Prado, Madrid",http://www.wga.hu/html/s/sorolla/portrai1.html,painting,portrait,Spanish,1851-1900
"SOROLLA Y BASTIDA, Joaquín","(b. 1863, Valencia, d. 1923, Cercedilla)",Portrait of the Wife of Aureliano Beruete the Elder,1902,"Oil on canvas, 111 x 88 cm","Museo del Prado, Madrid",http://www.wga.hu/html/s/sorolla/portrai2.html,painting,portrait,Spanish,1851-1900
"SPINELLI, Niccol? di Forzore","(b. 1430, Firenze, d. 1514, Firenze)",Angelo Poliziano,c. 1494,"Cast bronze, diameter 6 cm","Münzkabinett, Staatliche Museen, Berlin",http://www.wga.hu/html/s/spinello/spinelln/angelo_p.html,sculpture,portrait,Italian,1451-1500
"SPINELLI, Niccol? di Forzore","(b. 1430, Firenze, d. 1514, Firenze)",Filippo Strozzi,1489,"Cast copper alloy, diameter 9 cm","National Gallery of Art, Washington",http://www.wga.hu/html/s/spinello/spinelln/strozzi.html,sculpture,portrait,Italian,1451-1500
"SPINELLI, Niccol? di Forzore","(b. 1430, Firenze, d. 1514, Firenze)",Giovanna degli Albizzi Tornabuoni,c. 1486,"Cast bronze, diameter 8 cm","Münzkabinett, Staatliche Museen, Berlin",http://www.wga.hu/html/s/spinello/spinelln/albizzi.html,sculpture,portrait,Italian,1451-1500
"SPINELLI, Niccol? di Forzore","(b. 1430, Firenze, d. 1514, Firenze)",Girolamo Savonarola,1493-98,"Cast bronze, diameter 6 cm","Münzkabinett, Staatliche Museen, Berlin",http://www.wga.hu/html/s/spinello/spinelln/savonaro.html,sculpture,portrait,Italian,1451-1500
"SPINELLI, Niccol? di Forzore","(b. 1430, Firenze, d. 1514, Firenze)",Lorenzo de' Medici,c. 1490,"Cast bronze, diameter 9 cm","Metropolitan Museum of Art, New York",http://www.wga.hu/html/s/spinello/spinelln/l_medici.html,sculpture,portrait,Italian,1451-1500
"SPINELLI, Niccol? di Forzore","(b. 1430, Firenze, d. 1514, Firenze)",Portrait of Lodovico Luti of Siena,1498,"Bronze, diameter 8 cm","National Gallery of Australia, Canberra",http://www.wga.hu/html/s/spinello/spinelln/lodoluti.html,sculpture,portrait,Italian,1451-1500
"STEEN, Jan","(b. 1626, Leiden, d. 1679, Leiden)",A Burgher of Delft and His Daughter,1655,"Oil on canvas, 83 x 69 cm",Private collection,http://www.wga.hu/html/s/steen/page1/burgher.html,painting,portrait,Dutch,1651-1700
"STEEN, Jan","(b. 1626, Leiden, d. 1679, Leiden)",Self-Portrait as a Lutenist,1652-55,"Oil on panel, 55 x 44 cm","Museo Thyssen-Bornemisza, Madrid",http://www.wga.hu/html/s/steen/page1/selfport.html,painting,portrait,Dutch,1651-1700
"STEEN, Jan","(b. 1626, Leiden, d. 1679, Leiden)",Self-Portrait,c. 1670,"Oil on canvas, 73 x 62 cm","Rijksmuseum, Amsterdam",http://www.wga.hu/html/s/steen/page1/selfporx.html,painting,portrait,Dutch,1651-1700
"STIELER, Karl Joseph","(b. 1781, Mainz, d. 1858, München)","Nanette Heine, née Kaula",1829,Oil on canvas,"Schloss Nymphenburg, Munich",http://www.wga.hu/html/s/stieler/nanette.html,painting,portrait,German,1801-1850
"STIELER, Karl Joseph","(b. 1781, Mainz, d. 1858, München)","Portrait of the Family of Joseph, Duke of Saxe-Altenburg",1848,"Oil on canvas, 229 x 277 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/s/stieler/family.html,painting,portrait,German,1801-1850
"STIELER, Karl Joseph","(b. 1781, Mainz, d. 1858, München)",Amalie von Schintling,1831,Oil on canvas,"Schloss Nymphenburg, Munich",http://www.wga.hu/html/s/stieler/amalie.html,painting,portrait,German,1801-1850
"STIELER, Karl Joseph","(b. 1781, Mainz, d. 1858, München)",Johann Wolfgang von Goethe,1828,"Oil on canvas, 78,0 x 63,8 cm","Neue Pinakothek, Munich",http://www.wga.hu/html/s/stieler/goethe.html,painting,portrait,German,1801-1850
"STIELER, Karl Joseph","(b. 1781, Mainz, d. 1858, München)",King Ludwig I in his Coronation Robes,1826,"Oil on canvas, 244 x 171 cm","Neue Pinakothek, Munich",http://www.wga.hu/html/s/stieler/ludwig1.html,painting,portrait,German,1801-1850
"STIELER, Karl Joseph","(b. 1781, Mainz, d. 1858, München)",Portrait of Prince Karl of Bavaria,c. 1817,"Oil on canvas, 69 x 55 cm",Private collection,http://www.wga.hu/html/s/stieler/prince.html,painting,portrait,German,1801-1850
"STIELER, Karl Joseph","(b. 1781, Mainz, d. 1858, München)",Portrait of Therese Alexandra Freifrau von Tettenborn,1815,"Oil on canvas, 67 x 55 cm",Private collection,http://www.wga.hu/html/s/stieler/therese.html,painting,portrait,German,1801-1850
"STIMMER, Tobias","(b. 1539, Schaffhausen, d. 1584, Strasbourg)",Andrea Doria,1575,"Woodcut, 162 x 153 mm","National Gallery of Art, Washington",http://www.wga.hu/html/s/stimmer/a_doria.html,graphics,portrait,Swiss,1551-1600
"STOCK, Andries Jacobsz.","(b. ca. 1580, Antwerpen, d. after 1648, Den Haag)",Self-Portrait of Lucas van Layden,c. 1620,"Engraving, 218 x 167 mm","Rijksmuseum, Amsterdam",http://www.wga.hu/html/s/stock/leyden.html,graphics,portrait,Dutch,1601-1650
"STOM, Matthias","(b. ca. 1600, Amersfoort, d. after 1650, Sicily)",Old Woman Praying,1640s,"Oil on canvas, 78 x 64 cm","Metropolitan Museum of Art, New York",http://www.wga.hu/html/s/stom/old_woma.html,painting,portrait,Dutch,1601-1650
