AUTHOR,BORN_DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,STYLE,SCHOOL,TIMEFRAME
"CRAYER, Gaspard de","(b. 1584, Antwerpen, d. 1669, Ghent)",Portrait of a Lady,1620s,"Oil on canvas, 83 x 65 cm","Akademie der bildenden Künste, Vienna",http://www.wga.hu/html/c/crayer/portlady.html,painting,portrait,Flemish,1601-1650
"CRAYER, Gaspard de","(b. 1584, Antwerpen, d. 1669, Ghent)",The Cardinal Infante,1639,"Oil on canvas, 219 x 125 cm","Museo del Prado, Madrid",http://www.wga.hu/html/c/crayer/cardinal.html,painting,portrait,Flemish,1601-1650
"CRESPI, Daniele","(b. ca. 1597, Busto Arsizio, d. 1630, Milano)",Porrtrait of Antonio Olgiati,1621-22,"Oil on panel, 46 x 35 cm",Private collection,http://www.wga.hu/html/c/crespi/daniele/olgiati.html,painting,portrait,Italian,1601-1650
"CRESPI, Daniele","(b. ca. 1597, Busto Arsizio, d. 1630, Milano)",Portrait of a Gentleman,c. 1625,"Oil on panel, 45 x 33 cm",Private collection,http://www.wga.hu/html/c/crespi/daniele/portrait.html,painting,portrait,Italian,1601-1650
"CRESPI, Giuseppe Maria","(b. 1665, Bologna, d. 1747, Bologna)",Cardinal Prospero Lambertini,1740,"Oil on canvas, 80 x 58 cm","Palazzo d'Accursio, Bologna",http://www.wga.hu/html/c/crespi/giuseppe/lamberti.html,painting,portrait,Italian,1701-1750
"CRESPI, Giuseppe Maria","(b. 1665, Bologna, d. 1747, Bologna)",Count Fulvio Grati,1700-20,"Oil on canvas, 228 x 153 cm","Museo Thyssen-Bornemisza, Madrid",http://www.wga.hu/html/c/crespi/giuseppe/fulvio_g.html,painting,portrait,Italian,1701-1750
"CRESPI, Giuseppe Maria","(b. 1665, Bologna, d. 1747, Bologna)",Self-Portrait,c. 1700,"Oil on canvas, 60 x 50 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/c/crespi/giuseppe/selfport.html,painting,portrait,Italian,1701-1750
"CRESPI, Luigi","(b. 1709, Bologna, d. 1779, Bologna)",Elisabetta Cellesi,1732,"Oil on canvas, 128 x 83 cm","Staatliche Museen, Berlin",http://www.wga.hu/html/c/crespi/luigi/cellesi.html,painting,portrait,Italian,1751-1800
"CROFF, Giuseppe","(b. 1810, Milano, d. 1869, Torno)",The Veiled Nun,c. 1860,"Marble, height 38 cm","Corcoran Gallery of Art, Washington",http://www.wga.hu/html/c/croff/nun_veil.html,sculpture,portrait,Italian,1801-1850
"CSONTVÁRY KOSZTKA, Tivadar","(b. 1853, Kisszeben, d. 1919, Budapest)",Self-Portrait,c. 1900,"Oil on canvas, 67 x 40 cm","Magyar Nemzeti Galéria, Budapest",http://www.wga.hu/html/c/csontvar/04csont.html,painting,portrait,Hungarian,1851-1900
"CUGNOT, Louis-Léon","(b. 1835, Paris, d. 1894, Paris)",Petrarch,1865,Marble,"Hôtel de Pa?va, Paris",http://www.wga.hu/html/c/cugnot/petrarch.html,sculpture,portrait,French,1851-1900
"CUIRIS, Juan Bautista",(active 1550-1580 in Michoacán),Portrait of Christ Made of Humming Bird and Parrot Feathers,1550-80,Feathers,"Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/c/cuiris/feathers.html,painting,portrait,Other,1551-1600
"CUYP, Aelbert","(b. 1620, Dordrecht, d. 1691, Dordrecht)",Portrait of a Twenty-year-old Duck Sijctghen,1647-50,"Oil on panel, 35 x 42 cm","Dordrechts Museum, Dordrecht",http://www.wga.hu/html/c/cuyp/aelbert/1/sijctghe.html,painting,portrait,Dutch,1651-1700
"CUYP, Jacob Gerritsz.","(b. 1594, Dordrecht, d. ca. 1651, Dordrecht)",Portrait of a Child,-,"Oil on wood, 37 x 32 cm","Städelsches Kunstinstitut, Frankfurt",http://www.wga.hu/html/c/cuyp/jacob/portrait.html,painting,portrait,Dutch,1601-1650
"DAFFINGER, Moritz Michael","(b. 1790, Wien, d. 1849, Wien)",Miniature of Elise Wolf,c. 1830,"Watercolour on ivory, 10 x 8 cm","Akademie der bildenden Künste, Vienna",http://www.wga.hu/html/d/daffinge/miniatur.html,painting,portrait,Austrian,1801-1850
"DAFFINGER, Moritz Michael","(b. 1790, Wien, d. 1849, Wien)",Portrait of the Archduchess Maria Theresia,c. 1819,"Oil on canvas, 77 x 63 cm","Residenzgalerie, Salzburg",http://www.wga.hu/html/d/daffinge/portrait.html,painting,portrait,Austrian,1801-1850
"DAHL, Michael","(b. ca. 1659, Stockholm, d. 1743, London)",Portrait of a Woman,1700-15,"Oil on canvas, 124 x 102 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/d/dahl_m/port_wom.html,painting,portrait,Swedish,1701-1750
"DALLE MASEGNE, Jacobello","(d. 1409, active in Emilia)",Portrait of Doge Antonio Venier,1394,"Marble, height 51 cm","Museo Correr, Venice",http://www.wga.hu/html/d/dalle_ma/venier.html,sculpture,portrait,Italian,1351-1400
"DALOU, Jules","(b. 1838, Paris, d. 1902, Paris)",Girl Wearing a Headscarf,1890-92,"Marble, height 40 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/d/dalou/girlhead.html,painting,portrait,French,1851-1900
"DANCE-HOLLAND, Nathaniel","(b. 1735, London, d. 1811, Winchester)","Portrait of Anne, Countess of Albemarle",c. 1770,"Oil on canvas, 127 x 102 cm",Private collection,http://www.wga.hu/html/d/dance/portanne.html,painting,portrait,English,1751-1800
"DANCE-HOLLAND, Nathaniel","(b. 1735, London, d. 1811, Winchester)","Portrait of Lady Elizabeth Compton, Later Countess of Burlington",c. 1780,"Oil on canvas, 127 x 102 cm",Private collection,http://www.wga.hu/html/d/dance/compton.html,painting,portrait,English,1751-1800
"DANCE-HOLLAND, Nathaniel","(b. 1735, London, d. 1811, Winchester)",Self-Portrait,c. 1773,"Oil on canvas, 74 x 61 cm","National Portrait Gallery, London",http://www.wga.hu/html/d/dance/selfport.html,painting,portrait,English,1751-1800
"DANDINI, Cesare","(b. 1596, Firenze, d. 1657, Firenze)",Portrait of a Boy,1630-32,"Oil on canvas, 56 x 44 cm",Private collection,http://www.wga.hu/html/d/dandini/cesare/port_boy.html,painting,portrait,Italian,1601-1650
"DANDINI, Cesare","(b. 1596, Firenze, d. 1657, Firenze)",Portrait of a Young Soldier with a Lance,-,"Oil on paper, laid down on canvas, 52 x 38 cm",Private collection,http://www.wga.hu/html/d/dandini/cesare/soldier.html,painting,portrait,Italian,1601-1650
"DANDRIDGE, Bartholomew","(b. 1691, London, d. ca. 1755, London)",Portrait of a Girl,1740-45,"Oil on canvas, 91 x 71 cm",Private collection,http://www.wga.hu/html/d/dandridg/portgirl.html,painting,portrait,English,1701-1750
"DANHAUSER, Josef Franz","(b. 1805, Wien, d. 1845, Wien)",Portrait of the Piano-Manufcturer Konrad Graf,1840,"Oil on wood, 82 x 63 cm","Akademie der bildenden Künste, Vienna",http://www.wga.hu/html/d/danhause/portrait.html,painting,portrait,Austrian,1801-1850
"DANLOUX, Henri-Pierre","(b. 1753, Paris, d. 1809, Paris)",Baron de Besenval in His Study,-,"Oil on canvas, 49 x 37 cm",Private collection,http://www.wga.hu/html/d/danloux/resenval.html,painting,portrait,French,1751-1800
"DANLOUX, Henri-Pierre","(b. 1753, Paris, d. 1809, Paris)",Portrait of a Man,1790s,"Oil on canvas, 65 x 55 cm",Private collection,http://www.wga.hu/html/d/danloux/portrman.html,painting,portrait,French,1751-1800
"DANLOUX, Henri-Pierre","(b. 1753, Paris, d. 1809, Paris)",Portrait of Henry John Lambert,1800,"Oil on canvas, 141 x 118 cm",Private collection,http://www.wga.hu/html/d/danloux/lambert.html,painting,portrait,French,1751-1800
"DANLOUX, Henri-Pierre","(b. 1753, Paris, d. 1809, Paris)",Portrait of Jean-Louis Gustave d'Hautefort and his Sister,1800-02,"Oil on canvas, 145 x 113 cm",Private collection,http://www.wga.hu/html/d/danloux/hautefor.html,painting,portrait,French,1751-1800
"DANLOUX, Henri-Pierre","(b. 1753, Paris, d. 1809, Paris)",Portrait of Madame de l'Horme and Her Son,1801,"Oil on canvas, 102 x 85 cm",Private collection,http://www.wga.hu/html/d/danloux/port_mad.html,painting,portrait,French,1751-1800
"DANLOUX, Henri-Pierre","(b. 1753, Paris, d. 1809, Paris)",Portrait of the Artist's Wife and Son,1790,"Oil on canvas, 140 x 100 cm",Private collection,http://www.wga.hu/html/d/danloux/portrait.html,painting,portrait,French,1751-1800
"DANNECKER, Heinrich","(b. 1758, Stuttgart, d. 1841, Stuttgart)",Bust of Schiller (detail),1794,Marble,"Staatsgalerie, Stuttgart",http://www.wga.hu/html/d/dannecke/schillex.html,sculpture,portrait,German,1801-1850
"DANNECKER, Heinrich","(b. 1758, Stuttgart, d. 1841, Stuttgart)",Bust of Schiller,1794,"Marble, 85 x 95 cm","Staatsgalerie, Stuttgart",http://www.wga.hu/html/d/dannecke/schiller.html,sculpture,portrait,German,1801-1850
"DANNECKER, Heinrich","(b. 1758, Stuttgart, d. 1841, Stuttgart)",Self-Portrait,1796,"Plaster, painted bronze, height 74,5 cm","Staatsgalerie, Stuttgart",http://www.wga.hu/html/d/dannecke/selfport.html,sculpture,portrait,German,1801-1850
"DANTAN, Jean-Pierre","(b. 1800, Paris, d. 1869, Baden-Baden)",Liszt Playing the Piano,1836,"Gypsum, height 21 cm","Musée Carnavalet, Paris",http://www.wga.hu/html/d/dantan/liszt.html,sculpture,portrait,French,1801-1850
"DANTAN, Jean-Pierre","(b. 1800, Paris, d. 1869, Baden-Baden)",Portrait of Tamburini,1843,Litograph,-,http://www.wga.hu/html/d/dantan/tamburin.html,graphics,portrait,French,1801-1850
"DANTAN, Jean-Pierre","(b. 1800, Paris, d. 1869, Baden-Baden)",Victor Hugo,1832,"Plaster, height 17 cm","Musée Victor Hugo, Paris",http://www.wga.hu/html/d/dantan/hugo_vic.html,sculpture,portrait,French,1801-1850
"DANTI, Vincenzo","(b. 1530, Perugia, d. 1576, Perugia)",Cosimo as Augustus,1568-72,"Marble, height 280 cm","Museo Nazionale del Bargello, Florence",http://www.wga.hu/html/d/danti/cosimo.html,sculpture,portrait,Italian,1551-1600
"DAUCHER, Hans","(b. ca. 1485, Ulm, d. ca. 1538, Stuttgart)",Charles V on Horseback,1522,"Stone relief, 19 x 13 cm","Tiroler Landesmuseum Ferdinandeum, Innsbruck",http://www.wga.hu/html/d/daucher/hans/charles5.html,sculpture,portrait,German,1501-1550
"DAULLÉ, Jean","(b. 1703, Abbeville, d. 1763, Paris)","Portrait of Anastasia Ioannovna, Landgravine of Hesse-Homburg",1761,"Engraving, 576 x 430 mm","The Hermitage, St. Petersburg",http://www.wga.hu/html/d/daulle/landgrav.html,graphics,portrait,French,1701-1750
"DAUMIER, Honoré","(b. 1808, Marseille, d. 1879, Valmondois)","Jean-Auguste Chevandier de Valdrome, Parliamentarian (The Fool)",1832-35,"Oil-glazed clay, height 19 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/daumier/01fool.html,sculpture,portrait,French,1801-1850
"DAUMIER, Honoré","(b. 1808, Marseille, d. 1879, Valmondois)","Laurent Cunin, Politician (The Angry Man)",1832-35,"Oil-glazed clay, height 15 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/daumier/01angry.html,sculpture,portrait,French,1801-1850
"DAUMIER, Honoré","(b. 1808, Marseille, d. 1879, Valmondois)",Charles Philipon,c. 1833,"Unbaked clay, tinted, 16,4 x 13 x 10,6 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/daumier/01philip.html,sculpture,portrait,French,1801-1850
"DAUMIER, Honoré","(b. 1808, Marseille, d. 1879, Valmondois)",Charles Philipon,c. 1833,"Unbaked clay, tinted, 16,4 x 13 x 10,6 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/daumier/02philip.html,sculpture,portrait,French,1801-1850
"DAUMIER, Honoré","(b. 1808, Marseille, d. 1879, Valmondois)",Family on the Barricades in 1848,1854,"Oil on canvas, 74 x 92 cm","Národní Galerie, Prague",http://www.wga.hu/html/d/daumier/062barri.html,painting,portrait,French,1801-1850
"DAUMIER, Honoré","(b. 1808, Marseille, d. 1879, Valmondois)",Ratapoil (front view),c. 1850,"Bronze, height 38 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/daumier/051ratap.html,sculpture,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)","Anne-Marie-Louise Thélusson, Comtesse de Sorcy",1790,"Oil on canvas, 129 x 97 cm","Neue Pinakothek, Munich",http://www.wga.hu/html/d/david_j/2/210david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Count Potocki,1781,"Oil on canvas, 304 x 218 cm","Muzeum Narodowe, Warsaw",http://www.wga.hu/html/d/david_j/1/110david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Jacobus Blauw,1795,"Oil on canvas, 92 x 73 cm","National Gallery, London",http://www.wga.hu/html/d/david_j/3/305david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Madame Raymond de Verninac,1798-99,"Oil on canvas, 145 x 112 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/david_j/3/310david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Madame Récamier,1800,"Oil on canvas, 173 x 244 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/david_j/4/401david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Madame Trudaine,c. 1792,"Oil on canvas, 130 x 98 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/david_j/2/215david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Napoleon in his Study,1812,"Oil on canvas, 204 x 125 cm","National Gallery of Art, Washington",http://www.wga.hu/html/d/david_j/4/412david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Antoine-Laurent and Marie-Anne Lavoisier (detail),1788,Oil on canvas,"Metropolitan Museum of Art, New York",http://www.wga.hu/html/d/david_j/2/207david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Antoine-Laurent and Marie-Anne Lavoisier,1788,"Oil on canvas, 256 x 195 cm","Metropolitan Museum of Art, New York",http://www.wga.hu/html/d/david_j/2/206david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Doctor Alphonse Leroy,1783,"Oil on canvas, 72 x 91 cm","Musée Fabre, Montpellier",http://www.wga.hu/html/d/david_j/1/114david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Emilie Sériziat and her Son,1795,"Oil on canvas, 131 x 96 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/david_j/3/307david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Emmanuel-Joseph Siey?s,1817,"Oil on canvas, 98 x 74 cm","Fogg Art Museum, Harvard University, Cambridge",http://www.wga.hu/html/d/david_j/5/502david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of François Buron,1769,"Oil on canvas, 65 x 54 cm",Private collection,http://www.wga.hu/html/d/david_j/1/101david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Gaspar Mayer,1795,"Oil on canvas, 116 x 90 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/david_j/3/306david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of General Bonaparte,1797,"Oil on canvas, 81 x 65 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/david_j/3/309david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Ingres,1800s,"Oil on canvas, 54 x 47 cm","Pushkin Museum, Moscow",http://www.wga.hu/html/d/david_j/4/404david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Jacques-François Desmaisons,1782,"Oil on canvas, 92 x 72 cm","Albright-Knox Art Gallery, Buffalo",http://www.wga.hu/html/d/david_j/1/111david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Jeanbon Saint-André,1795,"Pen, black ink, wash and white highlights, diameter 182 mm","Art Institute, Chicago",http://www.wga.hu/html/d/david_j/7/707david.html,graphics,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Madame Adélaide Pastoret,1791-92,"Oil on canvas, 130 x 97 cm","Art Institute, Chicago",http://www.wga.hu/html/d/david_j/2/212david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Marguerite-Charlotte David,1813,"Oil on canvas, 72 x 63 cm","National Gallery of Art, Washington",http://www.wga.hu/html/d/david_j/4/413david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Marie-Françoise Buron,c. 1769,"Oil on canvas, 66 x 54 cm","Musée National des Beaux-Arts, Algiers",http://www.wga.hu/html/d/david_j/1/102david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Philippe-Laurent de Joubert,c. 1786,"Oil on canvas, 127 x 96 cm","Musée Fabre, Montpellier",http://www.wga.hu/html/d/david_j/2/2041davi.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Pierre Sériziat,1795,"Oil on canvas, 129 x 95 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/david_j/3/308david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of Pope Pius VII,1805,"Oil on canvas, 86 x 71 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/david_j/4/410david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of the Artist,1794,"Oil on canvas, 81 x 64 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/david_j/3/304david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of the Comtesse Vilain XIIII and her Daughter,1816,"Oil on canvas, 95 x 76 cm","National Gallery, London",http://www.wga.hu/html/d/david_j/5/501david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Portrait of the Marquise d'Orvilliers,1790,"Oil on canvas, 131 x 98 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/david_j/2/211david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Self-Portrait,1791,"Oil on canvas, 64 x 53 cm","Galleria degli Uffizi, Florence",http://www.wga.hu/html/d/david_j/2/213david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Self-Portrait,c. 1790,"Oil on canvas, 63 x 52 cm","Pushkin Museum, Moscow",http://www.wga.hu/html/d/david_j/2/209david.html,painting,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Sorrow,1773,"Coloured chalks on paper, 535 x 410 mm","École Nationale Supérieure des Beaux-Arts, Paris",http://www.wga.hu/html/d/david_j/6/601david.html,graphics,portrait,French,1801-1850
"DAVID, Jacques-Louis","(b. 1748, Paris, d. 1825, Bruxelles)",Woman in a Turban,1794,"Pen and brown ink, 370 x 260 mm",Private collection,http://www.wga.hu/html/d/david_j/7/705david.html,graphics,portrait,French,1801-1850
"DAVID, Jérôme","(b. ca. 1605, Paris, d. c. 1670, Roma)",Artemisia Gentileschi,c. 1627,Engraving,"Biblioth?que Nationale, Paris",http://www.wga.hu/html/d/david_je/artemisi.html,graphics,portrait,French,1601-1650
"DAWE, George","(b. 1781, London, d. 1829, London)",Portrait of Alexander P. Kutuzov,c. 1825,"Oil on canvas, 70 x 63 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/d/dawe/kutuzova.html,painting,portrait,English,1801-1850
"DAWE, George","(b. 1781, London, d. 1829, London)",Portrait of Alexander Shishkov,c. 1826,"Oil on canvas, 103 x 78 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/d/dawe/shishkov.html,painting,portrait,English,1801-1850
"DAWE, George","(b. 1781, London, d. 1829, London)",Portrait of Dmitry V. Golitsyn,c. 1825,"Oil on canvas, 70 x 63 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/d/dawe/golitsyn.html,painting,portrait,English,1801-1850
"DAWE, George","(b. 1781, London, d. 1829, London)",Portrait of Duke of Wellington,1829,"Oil on canvas, 317 x 185 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/d/dawe/wellingt.html,painting,portrait,English,1801-1850
"DAWE, George","(b. 1781, London, d. 1829, London)",Portrait of Grand Duke Nikolai Pavlovich,after 1821,Oil on canvas,"The Hermitage, St. Petersburg",http://www.wga.hu/html/d/dawe/granduke.html,painting,portrait,English,1801-1850
"DAWE, George","(b. 1781, London, d. 1829, London)",Portrait of Mikhail Kutuzov,1829,"Oil on canvas, 361 x 258 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/d/dawe/kutuzovm.html,painting,portrait,English,1801-1850
"DAWE, George","(b. 1781, London, d. 1829, London)",Portrait of Pyotr M. Volkonsky,c. 1825,"Oil on canvas, 70 x 63 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/d/dawe/volkonsk.html,painting,portrait,English,1801-1850
"DECAMPS, Alexandre Gabriel","(b. 1803, Paris, d. 1860, Fontainebleau)",Self-Portrait,1830-32,"Oil on canvas, 33 x 25 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/d/decamps/selfport.html,painting,portrait,French,1801-1850
"DEFERNEX, Jean-Baptiste","(b. ca. 1729, Paris, d. 1783, Paris)",Madame Favart,1762,"Terracotta, height 50 cm","Musée du Louvre, Paris",http://www.wga.hu/html/d/defernex/favart.html,sculpture,portrait,French,1751-1800
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)","Madame René de Gas, née Estelle Muston",1872-73,"Oil on canvas, 73 x 92 cm","National Gallery of Art, Washington",http://www.wga.hu/html/d/degas/2/1870s_07.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Double Portrait,c. 1865,"Oil on canvas, 57 x 70 cm","Wadsworth Atheneum, Hartford",http://www.wga.hu/html/d/degas/1/early14.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Edmond Duranty,1879,"Pastel and tempera, 101 x 100 cm","Burrell Collection, Glasgow",http://www.wga.hu/html/d/degas/3/1870s_77.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Girl with a Hat,1887-90,"Oil on canvas, 46 x 33 cm",Private collection,http://www.wga.hu/html/d/degas/4/1880s_24.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Hilaire de Gas,1857,"Oil on canvas, 53 x 41 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/degas/1/early11.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Jacques Joseph (James) Tissot,1866-68,"Oil on canvas, 151 x 121 cm","Metropolitan Museum of Art, New York",http://www.wga.hu/html/d/degas/1/early16.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Madame Camus at the Piano,1869,"Oil on canvas, 142 x 95 cm",Private collection,http://www.wga.hu/html/d/degas/1/early23.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Madame Jeantaud in the Mirror,1875,"Oil on canvas, 70 x 84 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/degas/2/1870s_19.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Mademoiselle Dihau at the Piano,1869-72,"Oil on canvas, 39 x 32 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/degas/1/early26.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Monsieur and Madame Edmondo Morbilli,c. 1865,"Oil on canvas, 117 x 88 cm","Museum of Fine Arts, Boston",http://www.wga.hu/html/d/degas/1/early09.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Portrait of a Young Woman,1867,"Oil on canvas, 27 x 22 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/degas/1/early18.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Portrait of Edouard Manet,1862-65,"Etching on white wove paper, 133 x 125 mm","Museum of Art, Philadelphia",http://www.wga.hu/html/d/degas/7/graphi05.html,graphics,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Portrait of Gennaro Bellelli,1860,"Pencil, 272 x 227 mm","Musée du Louvre, Paris",http://www.wga.hu/html/d/degas/7/graphi03.html,graphics,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Portrait of Giovanna Bellelli,1858-59,"Pencil, 326 x 238 mm","Musée du Louvre, Paris",http://www.wga.hu/html/d/degas/7/graphi02.html,graphics,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Portrait of Giulia Bellelli,1858-59,"Black pencil, gray wash, turpentine on off-white paper, 234 x 196 mm","Musée du Louvre, Paris",http://www.wga.hu/html/d/degas/7/graphi01.html,graphics,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Portrait of Hortense Valpinçon as a Child,1871,"Oil on canvas, 76 x 114 cm","Institute of Arts, Minneapolis",http://www.wga.hu/html/d/degas/2/1870s_03.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Portrait of Thér?se de Gas,c. 1865,"Oil on canvas, 89 x 67 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/degas/1/early12.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Portraits of Lorenzo Pagans and Auguste Degas,1869,"Oil on canvas, 54 x 39 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/degas/1/early24.html,painting,portrait,French,1851-1900
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Seated Woman,1872,"Oil on canvas, 75 x 54 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/d/degas/2/1870s_06.html,painting,portrait,French,1851-1900
